region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
WholeBrain,entropy__sample_entropy,amp__alpha_power_8_13,-0.1881,-0.2635,-0.1105,-0.1833,-4.9338,4.424022e-05,6.577363e-05,YES
WholeBrain,entropy__sample_entropy,amp__alpha_relative_8_13,0.1956,0.0938,0.2934,0.2049,3.9212,6.063520e-04,8.339350e-04,YES
WholeBrain,entropy__sample_entropy,amp__beta_power_13_30,0.1166,0.0255,0.2058,0.1301,2.6330,1.430504e-02,1.753705e-02,YES
WholeBrain,entropy__sample_entropy,amp__beta_relative_13_30,0.5628,0.5148,0.6072,0.5436,19.4142,1.361799e-16,1.934501e-15,YES
WholeBrain,entropy__sample_entropy,amp__broadband_power_1_45,-0.3879,-0.4350,-0.3387,-0.4327,-14.8758,6.327639e-14,3.471832e-13,YES
WholeBrain,entropy__sample_entropy,amp__delta_power_1_4,-0.3770,-0.4209,-0.3313,-0.4372,-15.6384,2.037937e-14,1.300517e-13,YES
WholeBrain,entropy__sample_entropy,amp__delta_relative_1_4,-0.5169,-0.5725,-0.4565,-0.4712,-14.8770,6.315946e-14,3.471832e-13,YES
WholeBrain,entropy__sample_entropy,amp__hilbert_envelope_mean,-0.6644,-0.7291,-0.5878,-0.6156,-13.0589,1.148089e-12,4.743300e-12,YES
WholeBrain,entropy__sample_entropy,amp__low_gamma_power_30_45,0.3488,0.2440,0.4456,0.3941,6.5159,7.971375e-07,1.370865e-06,YES
WholeBrain,entropy__sample_entropy,amp__low_gamma_relative_30_45,0.7077,0.6706,0.7413,0.7035,25.6751,1.739697e-19,1.202711e-17,YES
WholeBrain,entropy__sample_entropy,amp__mean_abs,-0.6622,-0.7266,-0.5862,-0.6146,-13.1407,1.001049e-12,4.219869e-12,YES
WholeBrain,entropy__sample_entropy,amp__peak_to_peak,-0.6681,-0.7392,-0.5822,-0.5815,-11.7541,1.118055e-11,3.957075e-11,YES
WholeBrain,entropy__sample_entropy,amp__rms,-0.7076,-0.7684,-0.6343,-0.6465,-13.5693,4.935018e-13,2.177708e-12,YES
WholeBrain,entropy__sample_entropy,amp__std,-0.7077,-0.7683,-0.6344,-0.6464,-13.5910,4.763060e-13,2.106308e-12,YES
WholeBrain,entropy__sample_entropy,amp__theta_power_4_8,-0.3110,-0.3501,-0.2708,-0.3421,-15.0883,4.593198e-14,2.671037e-13,YES
WholeBrain,entropy__sample_entropy,amp__theta_relative_4_8,0.0644,-0.0181,0.1461,0.0684,1.6077,1.204613e-01,1.354863e-01,NO
WholeBrain,entropy__sample_entropy,amp__variance,-0.6123,-0.6807,-0.5333,-0.6386,-12.4601,3.193061e-12,1.247158e-11,YES
