region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
Frontal,entropy__mse,amp__broadband_power_1_45,-0.4409,-0.4818,-0.3980,-0.4831,-18.7300,3.159093e-16,3.787259e-15,YES
Frontal,entropy__mse,amp__delta_power_1_4,-0.4471,-0.4887,-0.4035,-0.5140,-18.6012,3.712328e-16,4.301323e-15,YES
Frontal,entropy__mse,amp__delta_relative_1_4,-0.6273,-0.6763,-0.5728,-0.5344,-17.7896,1.050061e-15,9.944414e-15,YES
Frontal,entropy__mse,amp__hilbert_envelope_mean,-0.7632,-0.8075,-0.7104,-0.7192,-17.8488,9.721075e-16,9.291018e-15,YES
Frontal,entropy__mse,amp__low_gamma_power_30_45,0.0893,0.0013,0.1760,0.1285,2.0888,4.706591e-02,5.496323e-02,YES
Frontal,entropy__mse,amp__low_gamma_relative_30_45,0.5632,0.5041,0.6170,0.5152,15.8744,1.448379e-14,9.816789e-14,YES
Frontal,entropy__mse,amp__mean_abs,-0.7602,-0.8037,-0.7085,-0.7186,-18.2619,5.705638e-16,5.858165e-15,YES
Frontal,entropy__mse,amp__peak_to_peak,-0.8427,-0.8820,-0.7918,-0.7522,-16.4158,6.722063e-15,4.857686e-14,YES
Frontal,entropy__mse,amp__rms,-0.8415,-0.8766,-0.7975,-0.7920,-18.7712,3.000612e-16,3.639338e-15,YES
Frontal,entropy__mse,amp__std,-0.8414,-0.8762,-0.7977,-0.7917,-18.9175,2.501927e-16,3.144846e-15,YES
Frontal,entropy__mse,amp__theta_power_4_8,-0.3569,-0.3970,-0.3154,-0.3725,-16.4260,6.626691e-15,4.822371e-14,YES
Frontal,entropy__mse,amp__theta_relative_4_8,0.2072,0.1219,0.2896,0.1852,4.9331,4.432247e-05,6.584871e-05,YES
Frontal,entropy__mse,amp__variance,-0.7302,-0.7840,-0.6654,-0.7990,-15.1019,4.500479e-14,2.636721e-13,YES
Frontal,entropy__sample_entropy,amp__alpha_power_8_13,-0.1507,-0.2132,-0.0870,-0.1617,-4.8364,5.692732e-05,8.379507e-05,YES
Frontal,entropy__sample_entropy,amp__alpha_relative_8_13,0.4415,0.3827,0.4966,0.4291,13.7939,3.429683e-13,1.573709e-12,YES
Frontal,entropy__sample_entropy,amp__beta_power_13_30,0.0879,0.0082,0.1665,0.1241,2.2709,3.202336e-02,3.801742e-02,YES
Frontal,entropy__sample_entropy,amp__beta_relative_13_30,0.6229,0.5677,0.6726,0.5668,17.5520,1.434706e-15,1.293731e-14,YES
Frontal,entropy__sample_entropy,amp__broadband_power_1_45,-0.4488,-0.4918,-0.4036,-0.5111,-18.0115,7.870263e-16,7.729372e-15,YES
Frontal,entropy__sample_entropy,amp__delta_power_1_4,-0.4507,-0.4931,-0.4062,-0.5351,-18.3349,5.198956e-16,5.540502e-15,YES
Frontal,entropy__sample_entropy,amp__delta_relative_1_4,-0.6274,-0.6765,-0.5728,-0.5443,-17.7559,1.097327e-15,1.029799e-14,YES
Frontal,entropy__sample_entropy,amp__hilbert_envelope_mean,-0.7728,-0.8163,-0.7205,-0.7449,-17.8666,9.498033e-16,9.157067e-15,YES
Frontal,entropy__sample_entropy,amp__low_gamma_power_30_45,0.2005,0.0984,0.2983,0.2623,4.0065,4.872120e-04,6.741011e-04,YES
Frontal,entropy__sample_entropy,amp__low_gamma_relative_30_45,0.6594,0.6134,0.7010,0.6211,21.0531,2.009698e-17,4.246549e-16,YES
Frontal,entropy__sample_entropy,amp__mean_abs,-0.7694,-0.8126,-0.7178,-0.7436,-18.1226,6.820532e-16,6.866885e-15,YES
Frontal,entropy__sample_entropy,amp__peak_to_peak,-0.8251,-0.8682,-0.7695,-0.7308,-15.7521,1.728002e-14,1.148678e-13,YES
Frontal,entropy__sample_entropy,amp__rms,-0.8367,-0.8727,-0.7915,-0.7971,-18.5198,4.113003e-16,4.712911e-15,YES
Frontal,entropy__sample_entropy,amp__std,-0.8367,-0.8725,-0.7918,-0.7970,-18.6506,3.488824e-16,4.111262e-15,YES
Frontal,entropy__sample_entropy,amp__theta_power_4_8,-0.3654,-0.4054,-0.3239,-0.4029,-16.7599,4.171912e-15,3.204647e-14,YES
Frontal,entropy__sample_entropy,amp__theta_relative_4_8,0.1875,0.0985,0.2736,0.1776,4.2963,2.308083e-04,3.290010e-04,YES
Frontal,entropy__sample_entropy,amp__variance,-0.7205,-0.7761,-0.6538,-0.7994,-14.7635,7.505768e-14,4.001790e-13,YES
Occipital,entropy__mse,amp__alpha_power_8_13,-0.1984,-0.2931,-0.0997,-0.1214,-4.0996,3.834727e-04,5.344908e-04,YES
Occipital,entropy__mse,amp__alpha_relative_8_13,-0.0526,-0.1758,0.0722,-0.0040,-0.8679,3.937177e-01,4.187542e-01,NO
Occipital,entropy__mse,amp__beta_power_13_30,0.0252,-0.0396,0.0898,0.0796,0.8014,4.304756e-01,4.559788e-01,NO
Occipital,entropy__mse,amp__beta_relative_13_30,0.3851,0.3263,0.4408,0.3784,12.4280,3.376293e-12,1.316246e-11,YES
Occipital,entropy__mse,amp__broadband_power_1_45,-0.3441,-0.4195,-0.2640,-0.2625,-8.3655,1.030702e-08,2.219808e-08,YES
Occipital,entropy__mse,amp__delta_power_1_4,-0.3201,-0.3797,-0.2578,-0.2717,-10.0493,2.903109e-10,7.819543e-10,YES
Occipital,entropy__mse,amp__delta_relative_1_4,-0.2289,-0.3352,-0.1168,-0.1874,-4.1489,3.376787e-04,4.722492e-04,YES
Occipital,entropy__mse,amp__hilbert_envelope_mean,-0.4370,-0.5275,-0.3368,-0.3557,-8.1715,1.592561e-08,3.380728e-08,YES
Occipital,entropy__mse,amp__low_gamma_power_30_45,0.1804,0.1232,0.2365,0.2134,6.4101,1.035295e-06,1.760001e-06,YES
Occipital,entropy__mse,amp__low_gamma_relative_30_45,0.4068,0.3531,0.4578,0.4207,14.1751,1.869096e-13,8.994213e-13,YES
Occipital,entropy__mse,amp__mean_abs,-0.4353,-0.5257,-0.3351,-0.3533,-8.1507,1.669308e-08,3.525607e-08,YES
Occipital,entropy__mse,amp__peak_to_peak,-0.5004,-0.5738,-0.4191,-0.4287,-10.9651,4.839221e-11,1.516094e-10,YES
Occipital,entropy__mse,amp__rms,-0.4900,-0.5753,-0.3942,-0.4012,-9.2502,1.508889e-09,3.601847e-09,YES
Occipital,entropy__mse,amp__std,-0.4896,-0.5750,-0.3938,-0.4008,-9.2456,1.523780e-09,3.632552e-09,YES
Occipital,entropy__mse,amp__theta_power_4_8,-0.1894,-0.2321,-0.1461,-0.1537,-8.8485,3.564787e-09,8.169469e-09,YES
Occipital,entropy__mse,amp__theta_relative_4_8,0.0497,-0.0049,0.1039,0.0492,1.8747,7.255731e-02,8.300268e-02,NO
Occipital,entropy__mse,amp__variance,-0.4803,-0.5632,-0.3878,-0.4012,-9.4434,1.005553e-09,2.509648e-09,YES
Occipital,entropy__sample_entropy,amp__alpha_power_8_13,-0.2877,-0.3975,-0.1698,-0.2349,-4.8927,4.920333e-05,7.294333e-05,YES
Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,-0.1737,-0.3144,-0.0256,-0.1121,-2.4107,2.360412e-02,2.837968e-02,YES
Occipital,entropy__sample_entropy,amp__beta_power_13_30,0.0328,-0.0568,0.1219,0.0644,0.7534,4.582393e-01,4.839044e-01,NO
Occipital,entropy__sample_entropy,amp__beta_relative_13_30,0.4480,0.3832,0.5084,0.4371,12.6731,2.209785e-12,8.847672e-12,YES
Occipital,entropy__sample_entropy,amp__broadband_power_1_45,-0.3836,-0.4793,-0.2788,-0.3221,-7.0652,2.094551e-07,3.844336e-07,YES
Occipital,entropy__sample_entropy,amp__delta_power_1_4,-0.3487,-0.3945,-0.3012,-0.3247,-14.1174,2.047061e-13,9.782500e-13,YES
Occipital,entropy__sample_entropy,amp__delta_relative_1_4,-0.2525,-0.3531,-0.1460,-0.2110,-4.7900,6.420999e-05,9.418071e-05,YES
Occipital,entropy__sample_entropy,amp__hilbert_envelope_mean,-0.4927,-0.6092,-0.3554,-0.4154,-6.6146,6.253147e-07,1.091669e-06,YES
Occipital,entropy__sample_entropy,amp__low_gamma_power_30_45,0.4589,0.3787,0.5322,0.4776,10.4895,1.211662e-10,3.509757e-10,YES
Occipital,entropy__sample_entropy,amp__low_gamma_relative_30_45,0.7175,0.6823,0.7493,0.7235,26.9617,5.338800e-20,6.879216e-18,YES
Occipital,entropy__sample_entropy,amp__mean_abs,-0.4899,-0.6065,-0.3527,-0.4128,-6.5927,6.598420e-07,1.149045e-06,YES
Occipital,entropy__sample_entropy,amp__peak_to_peak,-0.4790,-0.5845,-0.3577,-0.4209,-7.2834,1.244132e-07,2.365105e-07,YES
Occipital,entropy__sample_entropy,amp__rms,-0.5276,-0.6389,-0.3947,-0.4458,-7.1338,1.777029e-07,3.287741e-07,YES
Occipital,entropy__sample_entropy,amp__std,-0.5273,-0.6386,-0.3944,-0.4455,-7.1292,1.796676e-07,3.321129e-07,YES
Occipital,entropy__sample_entropy,amp__theta_power_4_8,-0.2348,-0.2837,-0.1846,-0.2111,-9.3888,1.127195e-09,2.790521e-09,YES
Occipital,entropy__sample_entropy,amp__theta_relative_4_8,0.0169,-0.0576,0.0912,0.0255,0.4663,6.450671e-01,6.636256e-01,NO
